#,Mod名,文件名,端,可选,下载源,下载链接,GitHub,说明
96,动量,momentum-1.2.10-release.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-momentum/momentum-41.jar,,动量 by Annki / Build #41 / 一个为 Minecraft 增加跑酷与机动动作的模组。 / 滑行、跑墙、闪避……在我的世界中以更顺畅的方式行动。
97,卡里普索的糖果工坊,ccw-v1.3.1-mc26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-ccw/ccw-12.jar,,卡里普索的糖果工坊 by 尤里的猫·卡里普索 / Build #12 / 《卡里普索的糖果工坊》是一个轻量级的实用模组，通过简单且具有沉浸感的方式制作各种带有药水效果的软糖。   / 无论是养老的田园
98,吉星工艺（Astral Craft）,astral_craft-neoforge-26.1.2-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-astral-craft/astral-craft-38.jar,,吉星工艺（Astral Craft） by 我真求你了只要别给我骰1你说什么都队 / Build #38 / 我技能准备好了！😎我来收残血！😎看我的连招！😎（🎲=1）怎么会这样！🖥️🦐真是精彩~😅本模
99,吾有一术：新秩序,wenyan_addon-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-wenyan-addon/wenyan-addon-13.jar,,吾有一术：新秩序 by 另有队 附属 / Build #13 / 作为一个附属模组，使用可编程的扩展接口。让符咒们响应指令、执行动作、做出原版规则之外的事。不推翻旧规则，只在其上添一笔自己的注解。这正
100,吾有一術,wenyan_programming-1.0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-wenyan-programming/wenyan-programming-58.jar,,吾有一術 by 吾有一隊 / Build #58 / 使用文言创造奇妙魔法的Minecraft模组。将在teacon间加入许多符咒间通讯功能 / https://www.mcmod.cn/class/
101,圣脾,shengpi-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-shengpi/shengpi-13.jar,,圣脾 by 蜂鸣器 / Build #13 / 两块蜜脾掷向空中。落地，翻面——答案已在面前。无需界面，不扰聊天。原版世界里最朴素的动作，变成了一次完整的占卜。
102,墨迹工艺,inkraft-neoforge-2.0.0+mc26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-inkraft/inkraft-95.jar,,墨迹工艺 by 墨迹工艺制作委员会 / Build #95 / 使用Ink脚本语言为Minecraft编写交互式对话。 / https://www.curseforge.com/minecraft/m
103,多彩水晶,colorful_crystals-0.0.1+build.13.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-colorful-crystals/colorful-crystals-13.jar,,多彩水晶 by 好漂亮的水晶啊 / Build #13 / 一些水晶的装饰方块，以及3D的晶簇
104,女仆仓管,26.1.2-maid_storage_manager-2.0.0-neoforge+mc26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-maid-storage-manager/maid-storage-manager-10.jar,,女仆仓管 by 仓管女仆 / Build #10 / 一个让女仆管理存储、自动合成和进行一些神秘物流的mod
105,女仆的烘焙坊,maid_bakeries-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-maid-bakeries/maid-bakeries-6.jar,,女仆的烘焙坊 by 女仆的烘焙坊 / Build #6 / 使烘焙坊与车万女仆模组产生联动。
106,女仆的路径剧本,path_script-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-path-script/path-script-13.jar,,女仆的路径剧本 by 拿着路径剧本的女仆 / Build #13 / 女仆非常可爱，如果能让女仆为玩家带路，就像广大RPG里的主角跟随着游戏角色的指引，在女仆的讲解和带领下，逐步展开对地图/模组/其他
107,家具计划,furnitureplan-0.1.00.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-furnitureplan/furnitureplan-42.jar,,家具计划 by Ti adventurers' party / Build #42 / 开发这个模组的想法源于我们的内网服务器。我们都是高中生，暑假开服玩，在长时间的生存后，一位同学希望新增一些家具，
108,展示玩偶（Display Doll）,displaydoll-1.0.0-neoforge+mc26.1.2.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-displaydoll/displaydoll-11.jar,,展示玩偶（Display Doll） by TeaCon / Build #11 / 放置你的玩偶，摆出你的姿态，展示那些相遇的故事。
109,山河同契,repo-26.1.2-0.0.1+build.13.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-bonded-peaks/bonded-peaks-13.jar,,山河同契 by 天枢开发组-山河同契 / Build #13 / 以山河为契，结同袍之队
110,工业基石,industrybase-26.1.2-1.0-alpha.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-industrybase/industrybase-126.jar,,工业基石 by 斌政工作室 / Build #126 / 机械、电力与更真实的流体管道。 / https://www.mcmod.cn/class/10791.html
111,幻想存有论,gensokyoontology-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-gensokyoontology/gensokyoontology-32.jar,,幻想存有论 by 拟型悖论 - Pseudoparadox / Build #32 / 本模组是一个旨在还原幻想乡人物角色、场景地形、战斗探索与建筑结构的冒险类模组，为Minecraft添加了一个幻想
112,急,hurriedness-0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-hurriedness/hurriedness-13.jar,,急 by MaxPixel Studios Development / Build #13 / 你已急哭。你已急爆。 / 对着万物急，何尝不是在建立连接呢（
113,我想加入天际俯冲 Skyward Dive,skywarddive-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-skywarddive/skywarddive-19.jar,,我想加入天际俯冲 Skyward Dive by 那是……无法到达的地方 / Build #19 / 准备飞了，准备飞了，哥们儿😎😎 / 我这枪捡两回都没捡上。😡😡 / 快走，快走，缩圈了😩😩 / 我
114,我的尖塔,minethespire-0.0.1.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-minethespire/minethespire-10.jar,,我的尖塔 by 永远的怕酱 / Build #10 / 将《杀戮尖塔》中的有趣内容融入Minecraft
115,拾穗的贸易台,trading_table-1.0.0.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-trading-table/trading-table-25.jar,,拾穗的贸易台 by 神秘魔法书 / Build #25 / 模组增加了两个贸易台方块，现在，和其他玩家贸易往来吧！ / 发布页：https://www.mczwlt.net/resource/lntj
116,拾贰木砧,woodenanvil-26.1-5e28a9c.jar,both,,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-woodenanvil/woodenanvil-6.jar,,拾贰木砧 by 拾贰光尘 / Build #6 / 《拾贰木砧》可以让你在没有足够的铁或受够了传统铁砧的材质的情况下使用铁砧的所有功能，也可以充当一种建筑材料代替原版的栅栏与围墙。
