#,Mod名,文件名,端,下载源,下载链接
60,stoneworks,stoneworks-yI3EuefP.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/maven/modrinth/stoneworks/yI3EuefP/stoneworks-yI3EuefP.jar
61,T88,t88-26.1.2-1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/extra/t88-26.1.2-1.6469d76f.jar
62,ThatSkyInteractions,thatskyinteractions-26.1.2-2.1.0-rc2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-thatskyinteractions/thatskyinteractions-129.jar
63,ToadSync NeoForge 26.1.2,ToadSync-NeoForge-26.1.2-0.2.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/ToadSync-NeoForge-26.1.2/0.2.4/ToadSync-NeoForge-26.1.2-0.2.4.jar
64,Valorant,valorant-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-valorant/valorant-9.jar
65,VoteMe NeoForge 26.1.2,VoteMe-NeoForge-26.1.2-0.10.3.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/VoteMe-NeoForge-26.1.2/0.10.3/VoteMe-NeoForge-26.1.2-0.10.3.jar
66,V我50,vw50-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-vw50/vw50-8.jar
67,WorldEditCUI NeoForge 26.1.2,WorldEditCUI-NeoForge-26.1.2-643d105.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/WorldEditCUI-NeoForge-26.1.2/643d105/WorldEditCUI-NeoForge-26.1.2-643d105.jar
68,x3d map,x3d_map-1.0.13.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-x3d-map/x3d-map-64.jar
69,Xibao NeoForge 26.1,Xibao-NeoForge-26.1-5.0.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/Xibao-NeoForge-26.1/5.0.2/Xibao-NeoForge-26.1-5.0.2.jar
70,XKDeco NeoForge 26.1.2,XKDeco-NeoForge-26.1.2-2.0.0.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/maven/org/teacon/XKDeco-NeoForge-26.1.2/2.0.0.2/XKDeco-NeoForge-26.1.2-2.0.0.2.jar
71,万物皆可绳,super_lead-0.4.9-beta.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-super-lead/super-lead-56.jar
72,书信，信号，电话,letter_signal_phone-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-letter-signal-phone/letter-signal-phone-14.jar
73,以太工艺,ether_craft-0.4.1_mc26.1.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-ether-craft/ether-craft-106.jar
74,伊卡洛斯之翼,locusazzurro_icaruswings-26.1.2-0.7.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-locusazzurro-icaruswings/locusazzurro-icaruswings-36.jar
75,会饮,repo-26.1.2-3.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-convivium/convivium-197.jar
76,伤害枢纽,damagenexus-0.1.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-damagenexus/damagenexus-45.jar
77,兰法斯：本德森之章,lanfasie_benderson-0.1.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-lanfasie-benderson/lanfasie-benderson-45.jar
78,动态的树,dynamictrees-neoforge-26.1.2-1.8.0-BETA03.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-dynamictrees/dynamictrees-7.jar
79,动量,momentum-1.2.10-release.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-momentum/momentum-41.jar
80,卡里普索的糖果工坊,ccw-v1.3.1-mc26.1.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-ccw/ccw-12.jar
81,吉星工艺（Astral Craft）,astral_craft-neoforge-26.1.2-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-astral-craft/astral-craft-38.jar
82,吾有一术：新秩序,wenyan_addon-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-wenyan-addon/wenyan-addon-13.jar
83,吾有一術,wenyan_programming-1.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-wenyan-programming/wenyan-programming-58.jar
84,圣脾,shengpi-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-shengpi/shengpi-13.jar
85,女仆的烘焙坊,maid_bakeries-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-maid-bakeries/maid-bakeries-6.jar
86,女仆的路径剧本,path_script-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-path-script/path-script-13.jar
87,家具计划,furnitureplan-0.1.00.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-furnitureplan/furnitureplan-42.jar
88,工业基石,industrybase-26.1.2-1.0-alpha.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-industrybase/industrybase-126.jar
89,幻想存有论,gensokyoontology-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-gensokyoontology/gensokyoontology-32.jar
90,急,hurriedness-0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-hurriedness/hurriedness-13.jar
91,我想加入天际俯冲 Skyward Dive,skywarddive-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-skywarddive/skywarddive-19.jar
92,我的尖塔,minethespire-0.0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-minethespire/minethespire-10.jar
93,拾穗的贸易台,trading_table-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-trading-table/trading-table-25.jar
94,拾贰木砧,woodenanvil-26.1-5e28a9c.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-woodenanvil/woodenanvil-6.jar
95,撅电报,cc_ms-neoforge-26.1.2-0.1.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-cc-ms/cc-ms-10.jar
96,收获：遗产,harvestheritage-1.3.4.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-harvestheritage/harvestheritage-63.jar
97,方块小镇,yuushya-26.1-neoforge-2.3.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-yuushya/yuushya-69.jar
98,方块建模,yuushya_modelling-26.1.2-2.4.2.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-yuushya-modelling/yuushya-modelling-36.jar
99,方生未逝,living_unvanished-1.0.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-living-unvanished/living-unvanished-8.jar
100,无穷桌游,infinite_board_games-0.1.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-infinite-board-games/infinite-board-games-5.jar
101,更多交互,extra_interaction-1.0.jar,both,archive.teacon.cn,https://archive.teacon.cn/2026/ci/build/team-extra-interaction/extra-interaction-13.jar
